level,source_id,route_family,score_id,K,primary_success_family,unit_count,gt_units,gt_total,gt_selected,Recall@K,selected_total,Selected@K_mean,violation_denominator,violation_count,Violation@K
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_minmax_no_route_G_only,5,False,548,335,1440,183,0.12708333333333333,2734,4.989051094890511,2734,698,0.2553035844915874
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_minmax_no_route_G_only,10,False,548,335,1440,351,0.24375,5412,9.875912408759124,5412,1249,0.23078344419807834
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_minmax_no_route_G_only,20,False,548,335,1440,616,0.42777777777777776,10526,19.208029197080293,10526,2012,0.19114573437203117
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_minmax_no_route_G_only,50,False,548,335,1440,1106,0.7680555555555556,22140,40.4014598540146,22140,3512,0.15862691960252936
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_minmax_no_route_G_only,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_minmax_route_G_only,5,False,548,335,1440,183,0.12708333333333333,2734,4.989051094890511,2734,698,0.2553035844915874
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_minmax_route_G_only,10,False,548,335,1440,351,0.24375,5412,9.875912408759124,5412,1249,0.23078344419807834
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_minmax_route_G_only,20,False,548,335,1440,616,0.42777777777777776,10526,19.208029197080293,10526,2012,0.19114573437203117
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_minmax_route_G_only,50,False,548,335,1440,1106,0.7680555555555556,22140,40.4014598540146,22140,3512,0.15862691960252936
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A1_minmax_route_G_only,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A2_minmax_TG_concat,5,False,548,335,1440,187,0.12986111111111112,2734,4.989051094890511,2734,670,0.24506217995610827
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A2_minmax_TG_concat,10,False,548,335,1440,356,0.24722222222222223,5412,9.875912408759124,5412,1215,0.2245011086474501
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A2_minmax_TG_concat,20,False,548,335,1440,613,0.42569444444444443,10526,19.208029197080293,10526,1996,0.18962568877066313
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A2_minmax_TG_concat,50,False,548,335,1440,1114,0.7736111111111111,22140,40.4014598540146,22140,3469,0.1566847335140018
source_family,open3dsg_recovery_relaxed_views_min2,proximity,A2_minmax_TG_concat,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S0_source_score_minmax,5,False,548,335,1440,183,0.12708333333333333,2734,4.989051094890511,2734,698,0.2553035844915874
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S0_source_score_minmax,10,False,548,335,1440,351,0.24375,5412,9.875912408759124,5412,1249,0.23078344419807834
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S0_source_score_minmax,20,False,548,335,1440,616,0.42777777777777776,10526,19.208029197080293,10526,2012,0.19114573437203117
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S0_source_score_minmax,50,False,548,335,1440,1106,0.7680555555555556,22140,40.4014598540146,22140,3512,0.15862691960252936
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S0_source_score_minmax,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_minmax_source_x_Ce,5,False,548,335,1440,195,0.13541666666666666,2734,4.989051094890511,2734,685,0.25054864667154353
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_minmax_source_x_Ce,10,False,548,335,1440,361,0.25069444444444444,5412,9.875912408759124,5412,1252,0.23133776792313376
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_minmax_source_x_Ce,20,False,548,335,1440,614,0.4263888888888889,10526,19.208029197080293,10526,1998,0.18981569447083413
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_minmax_source_x_Ce,50,False,548,335,1440,1102,0.7652777777777777,22140,40.4014598540146,22140,3484,0.15736224028906956
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_minmax_source_x_Ce,100,False,548,335,1440,1440,1.0,26766,48.84306569343066,26766,4272,0.15960546962564448
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_rankpct_source_x_Ce,5,False,548,335,1440,186,0.12916666666666668,2734,4.989051094890511,2734,588,0.2150694952450622
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_rankpct_source_x_Ce,10,False,548,335,1440,350,0.24305555555555555,5412,9.875912408759124,5412,1030,0.19031781226903177
source_family,open3dsg_recovery_relaxed_views_min2,proximity,S2_rankpct_source_x_Ce,20,False,548,335,1440,586,0.40694444444444444,10526,19.208029197080293,10526,1830,0.1738552156564697
